application_id,case_index,method_label,parameter_name,parameter_value,shots,success_probability,best_normalized_accuracy,ARG,best_ARG,precision_score,best_precision_score,precision_percent,best_precision_percent,approximation_ratio_gap,in_constraints_probs,best_solution_probs,mean_cost,best_cost,feasible_probability,best_feasible_probability,sampled_expected_objective,best_objective,optimizer,simulation_backend,problem_n,parameter_count,parameter_vector,noise_model,noise_single_qubit_error,noise_two_qubit_error,noise_readout_error
Func-8,11,method,cobyla_iteration,11,256,1.0,1.0,1.6165995862758313,1.6165995862758313,0.38217540247466203,0.38217540247466203,38.217540247466204,38.217540247466204,1.6165995862758313,97.265625,0.0,4.260703125,-6.91,0.97265625,0.97265625,6.657751004016065,6.8,COBYLA,aer_noise,11,7,1.53037336646;1.61102300532;1.36078698279;1.52645281775;0.565026693749;1.52120696249;1.35512045237,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,12,method,cobyla_iteration,12,256,1.0,1.0,1.612857274403556,1.612857274403556,0.3827227800754149,0.3827227800754149,38.27227800754149,38.27227800754149,1.612857274403556,97.265625,0.390625,4.2348437500000005,-6.91,0.97265625,0.97265625,6.6840562248995985,6.91,COBYLA,aer_noise,11,7,1.65009896764;1.09565170517;1.73048706137;1.41500055353;0.527068322656;1.69686259699;1.43116808549,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,13,method,cobyla_iteration,13,256,1.0,1.0,1.6138239440865758,1.6138239440865758,0.382581237830637,0.382581237830637,38.2581237830637,38.2581237830637,1.6138239440865758,97.265625,1.171875,4.241523437500001,-6.91,0.97265625,0.97265625,6.677469879518072,6.91,COBYLA,aer_noise,11,7,1.86942356119;1.00804510173;1.48422376166;1.07472212795;0.45753261576;2.01864507511;1.57047927758,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,14,method,cobyla_iteration,14,256,1.0,1.0,1.6100985913315466,1.6100985913315466,0.38312729002694423,0.38312729002694423,38.312729002694425,38.312729002694425,1.6100985913315466,97.265625,0.0,4.215781250000001,-6.91,0.97265625,0.97265625,6.70409638554217,6.800000000000001,COBYLA,aer_noise,11,7,1.65009896764;1.09565170517;1.73048706137;1.41500055353;0.233836755953;1.63349661015;1.43116808549,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,15,method,cobyla_iteration,15,256,1.0,1.0,1.6103755902465637,1.6103755902465637,0.3830866346346522,0.3830866346346522,38.30866346346522,38.30866346346522,1.6103755902465637,97.265625,2.34375,4.2176953125,-6.91,0.97265625,0.97265625,6.701686746987953,6.91,COBYLA,aer_noise,11,7,1.93055748489;0.983625882146;1.85766221918;1.42195507227;-0.129682105609;1.33568682163;1.60931048958,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,16,method,cobyla_iteration,16,256,1.0,1.0,1.6095502465405933,1.6095502465405933,0.38320779656405224,0.38320779656405224,38.32077965640522,38.32077965640522,1.6095502465405933,97.265625,0.78125,4.211992187499999,-6.91,0.97265625,0.97265625,6.706224899598394,6.91,COBYLA,aer_noise,11,7,1.76935534311;1.04801616269;1.78456439345;1.41795774915;0.0250622905977;1.75767373956;0.900537392541,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,17,method,cobyla_iteration,17,256,1.0,1.0,1.6081878641218346,1.6081878641218346,0.3834079644936526,0.3834079644936526,38.340796449365264,38.340796449365264,1.6081878641218346,97.265625,0.78125,4.202578124999999,-6.91,0.97265625,0.97265625,6.717228915662652,6.91,COBYLA,aer_noise,11,7,1.45798255543;1.06964857283;1.77632221164;1.45449708318;0.0674405777483;1.7570921362;1.50726501207,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,18,method,cobyla_iteration,18,256,1.0,1.0,1.608023925988457,1.608023925988457,0.3834320651874365,0.3834320651874365,38.34320651874365,38.34320651874365,1.608023925988457,97.265625,0.390625,4.201445312499999,-6.91,0.97265625,0.97265625,6.718393574297189,6.91,COBYLA,aer_noise,11,7,1.49075055524;1.00814626515;1.85382968532;1.47616583787;-0.169551929345;1.67872744282;1.63517242915,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,19,method,cobyla_iteration,19,256,1.0,1.0,1.6078543348159973,1.6078543348159973,0.38345700012825185,0.38345700012825185,38.34570001282518,38.34570001282518,1.6078543348159973,97.265625,0.78125,4.200273437499999,-6.91,0.97265625,0.97265625,6.719598393574297,6.91,COBYLA,aer_noise,11,7,1.49061647269;1.08150143582;1.79283444815;1.50791375168;0.0752725853557;1.78977137213;1.52008179211,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,20,method,cobyla_iteration,20,256,1.0,1.0,1.6091714929221002,1.6091714929221002,0.38326342393081486,0.38326342393081486,38.32634239308149,38.32634239308149,1.6091714929221002,97.265625,1.171875,4.209374999999999,-6.91,0.97265625,0.97265625,6.710240963855422,6.91,COBYLA,aer_noise,11,7,1.38026485619;1.01696822987;1.88176249443;1.43679067925;0.11365608986;1.75619578381;1.4964532728,depolarizing_readout,5e-05,0.0005,0.0001
